1,22.5,8.81678362,12.13525011,22.66666667
2,22.5,8.387803901,12.43560711,11
3,22.5,8.374016563,11.78253193,14
4,22.5,7.940061658,12.07522793,11
5,22.5,7.948873809,12.72064211,11
6,22.5,7.496156379,12.35260193,6.5
7,22.5,7.499993343,12.99035511,4.666666667
8,22.5,7.931249507,11.42981375,14
9,22.5,7.492319415,11.71484875,6.5
10,22.5,7.48848245,11.07709557,6
11,22.5,10.03694945,11.14715166,27.66666667
12,22.5,9.6417192,11.49070911,40
13,22.5,9.58111667,10.90594604,33
14,22.5,9.180140571,11.24240785,40
15,22.5,9.234997255,11.82007527,40
16,22.5,8.76767278,11.56467835,28.5
17,22.5,9.125283886,10.66474043,33
18,22.5,8.718561941,10.99410658,28.5
19,22.5,8.669451102,10.42353481,22.16666667
20,22.5,7.882138668,10.85924199,10.5
21,22.5,8.324905724,11.21196017,17
22,22.5,8.275794885,10.6413884,10.5
23,22.5,12.99036088,7.499983347,5
24,22.5,12.72064823,7.94886402,9
25,22.5,12.48327458,7.357462742,5.5
26,22.5,12.20590092,7.801368234,9
27,22.5,12.43561357,8.387794331,9
28,22.5,11.91320526,8.235323365,7
29,22.5,12.1352569,8.816774281,16
30,22.5,11.97618828,7.214942137,5.5
31,22.5,11.69115362,7.653872449,7
32,22.5,11.46910197,7.072421533,4.333333333
33,22.5,11.14715938,10.03694088,25
34,22.5,10.79002397,10.41994569,17
35,22.5,10.65645236,9.786931264,20.5
36,22.5,10.29284966,10.1634688,17
37,22.5,10.41995399,10.79001595,17
38,22.5,9.916312404,10.52707179,21.5
39,22.5,10.16574533,9.536921653,20.5
40,22.5,9.795675354,9.906991914,21.5
41,22.5,9.675038303,9.286912042,23
42,22.5,9.004646836,10.04466056,27
43,22.5,9.46047962,10.28586617,26
44,22.5,9.339842569,9.665786299,27
45,22.5,8.573595712,9.07012227,26.4
46,22.5,8.940743243,9.142385527,27
47,22.5,8.605547509,9.521259785,23
48,22.5,8.972695039,9.593523042,28
